Actual_Meteor_Count,Predicted_Meteor_Count
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
232839.0,232841.07333333333
330948.0,330947.76
0.0,0.0
243991.0,243990.52
0.0,0.0
330750.0,330752.11333333334
0.0,0.0
0.0,0.0
331239.0,331237.7866666667
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
273792.0,273790.17333333334
0.0,0.0
289237.0,289238.94
347878.0,347889.18
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
224205.0,224205.09333333332
252723.0,252722.92
233456.0,233455.44
243886.0,243887.43333333332
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
318979.0,318977.64666666667
331441.0,331439.7866666667
0.0,0.0
251644.0,251643.30666666667
0.0,0.0
346075.0,346076.72
0.0,0.0
359875.0,359874.5133333333
0.0,0.0
223582.0,223577.47333333333
0.0,0.0
345372.0,345370.48
331028.0,331027.79333333333
348780.0,348779.7733333333
302032.0,302032.84
0.0,0.0
0.0,0.0
0.0,0.0
318843.0,318846.64666666667
341900.0,341897.63333333336
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
224397.0,224396.64666666667
347936.0,347936.1533333333
0.0,0.0
0.0,0.0
224015.0,224015.46666666667
0.0,0.0
333766.0,333765.08
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
219273.0,219271.58
0.0,0.0
0.0,0.0
252078.0,252078.39333333334
0.0,0.0
0.0,0.0
0.0,0.0
346492.0,346489.1666666667
274899.0,274898.6666666667
0.0,0.0
0.0,0.0
0.0,0.0
224058.0,224055.29333333333
272270.0,272273.23333333334
0.0,0.0
0.0,0.0
331470.0,331469.9533333333
0.0,0.0
0.0,0.0
252282.0,252285.24
253305.0,253310.08666666667
0.0,0.0
243979.0,243978.84666666668
0.0,0.0
0.0,0.0
0.0,0.0
302926.0,302928.17333333334
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
223548.0,223547.12666666668
0.0,0.0
345483.0,345481.38
0.0,0.0
223356.0,223343.24
272611.0,272610.88
0.0,0.0
0.0,0.0
0.0,0.0
287115.0,287111.44
302709.0,302707.9533333333
319051.0,319051.76
348831.0,348828.80666666664
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
