Actual_Brightness,Predicted_Brightness
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
15522.6,15522.700888888892
22063.2,22063.349777777814
18962.35387389397,18962.35387389583
16266.066666666668,16266.003111111106
18962.35387389397,18962.35387389583
22050.0,22050.020444444468
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
22082.6,22082.51911111106
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18252.8,18252.67022222222
18962.35387389397,18962.35387389583
19282.466666666667,19282.590666666707
23191.866666666665,23192.64888888892
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
14947.0,14947.03555555555
16848.2,16848.18844444443
15563.733333333334,15563.695555555585
16259.066666666668,16259.166222222246
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
21265.266666666663,21265.176888888902
22096.066666666666,22095.97155555559
18962.35387389397,18962.35387389583
16776.266666666666,16776.25288888887
18962.35387389397,18962.35387389583
23071.666666666668,23071.819555555594
18962.35387389397,18962.35387389583
23991.666666666668,23991.646666666653
18962.35387389397,18962.35387389583
14905.466666666667,14905.18311111111
18962.35387389397,18962.35387389583
23024.8,23024.707111111067
22068.533333333333,22068.519555555562
23252.0,23251.981333333326
20135.466666666667,20135.52266666666
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
21256.2,21256.394222222218
22793.33333333333,22793.16133333335
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
14959.8,14959.776444444458
23195.733333333334,23195.743555555575
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
14934.333333333334,14934.428888888866
18962.35387389397,18962.35387389583
22251.066666666666,22251.014222222235
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
14618.2,14618.107111111094
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
16805.2,16805.223999999995
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
23099.466666666667,23099.28266666662
18326.6,18326.577777777773
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
14937.2,14937.027555555544
18151.33333333333,18151.5488888889
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
22098.0,22098.02044444444
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
16818.8,16819.003555555562
16887.0,16887.343555555548
18962.35387389397,18962.35387389583
16265.266666666666,16265.256444444445
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
20195.066666666666,20195.211555555536
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
14903.2,14903.15555555555
18962.35387389397,18962.35387389583
23032.2,23032.088444444515
18962.35387389397,18962.35387389583
14890.4,14889.525777777775
18174.066666666666,18174.058666666646
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
19141.0,19140.75955555555
20180.6,20180.541777777784
21270.066666666666,21270.116444444422
23255.4,23255.215555555587
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
23269.533333333333,23269.763111111126
18962.35387389397,18962.35387389583
21486.533333333333,21486.334222222198
23385.33333333333,23381.35066666663
14910.4,14910.340444444415
18962.35387389397,18962.35387389583
18145.666666666668,18145.700444444454
18962.35387389397,18962.35387389583
18300.666666666668,18300.652888888882
18962.35387389397,18962.35387389583
21256.6,21256.53955555555
20296.466666666667,20294.651999999995
18962.35387389397,18962.35387389583
19116.33333333333,19116.34755555552
20367.733333333334,20367.68488888887
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
19265.8,19265.703555555563
15512.066666666668,15512.079111111105
14989.8,14989.828888888902
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
14906.866666666669,14906.848444444457
18962.35387389397,18962.35387389583
16797.333333333332,16797.412444444428
18962.35387389397,18962.35387389583
14904.333333333334,14904.184444444438
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
23105.066666666666,23105.07244444439
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
20155.066666666666,20154.08177777775
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
22070.8,22070.91155555555
20228.866666666665,20228.748444444453
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
17106.466666666667,17106.490222222223
16796.933333333334,16797.048444444434
18962.35387389397,18962.35387389583
23269.4,23269.53066666668
18962.35387389397,18962.35387389583
16593.933333333334,16597.47333333333
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
24119.2,24119.211111111137
23107.2,23107.070222222173
21284.066666666666,21284.020888888896
18962.35387389397,18962.35387389583
16258.8,16258.561333333348
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
22096.866666666665,22096.94088888889
19079.533333333333,19079.399999999998
14885.866666666669,14885.896888888907
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
20235.466666666667,20235.445333333315
18962.35387389397,18962.35387389583
22058.4,22058.415555555566
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
23195.6,23195.60222222228
18962.35387389397,18962.35387389583
16779.0,16779.0017777778
15545.133333333331,15546.183111111102
18962.35387389397,18962.35387389583
16781.8,16781.753777777794
18962.35387389397,18962.35387389583
18217.533333333333,18217.53777777779
22083.266666666663,22083.047111111082
18217.466666666667,18217.53777777779
18962.35387389397,18962.35387389583
23038.866666666665,23038.921333333343
18317.2,18317.068888888876
19259.066666666666,19258.872888888858
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
14903.6,14903.581777777777
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
21239.33333333333,21239.454222222255
14882.4,14882.27866666669
18962.35387389397,18962.35387389583
20224.8,20224.867555555553
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
23099.066666666666,23099.06399999998
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
18962.35387389397,18962.35387389583
23998.066666666666,23998.002666666707
21323.466666666667,21323.745333333325
20116.666666666668,20116.623555555554
22097.4,22097.359555555526
18962.35387389397,18962.35387389583
