Date,Avg_Magnitude_Forecast,Avg_Magnitude_Lower_CI,Avg_Magnitude_Upper_CI,Date,Meteor_Count_Forecast,Meteor_Count_Lower_CI,Meteor_Count_Upper_CI,Date,Peak_Activity_Forecast,Peak_Activity_Lower_CI,Peak_Activity_Upper_CI
2025-01-04 21:55:00,23119.693332501472,22737.42190932903,23501.964755673915,2025-01-04 21:55:00,153961.44444444444,144576.7048291138,163346.18405977509,2025-01-04 21:55:00,0.4444444444444444,0.39049223001200695,0.4983966588768819
2025-01-05 21:55:00,23121.816387987707,22723.935675894907,23519.697100080506,2025-01-05 21:55:00,153961.44444444444,144232.03500057952,163690.85388830936,2025-01-05 21:55:00,0.4444444444444444,0.38828919921477745,0.5005996896741114
2025-01-06 21:55:00,23123.93944347394,22711.03911514195,23536.83977180593,2025-01-06 21:55:00,153961.44444444444,143899.16445404565,164023.72443484323,2025-01-06 21:55:00,0.4444444444444444,0.38616939239432313,0.5027194964945657
2025-01-07 21:55:00,23126.062498960175,22698.67005492559,23553.45494299476,2025-01-07 21:55:00,153961.44444444444,143576.9584637138,164345.9304251751,2025-01-07 21:55:00,0.4444444444444444,0.3841240348297488,0.5047648540591401
2025-01-08 21:55:00,23128.18555444641,22686.776536302186,23569.59457259063,2025-01-08 21:55:00,153961.44444444444,143264.45329913616,164658.4355897527,2025-01-08 21:55:00,0.4444444444444444,0.38214579324937453,0.5067430956395143
2025-01-09 21:55:00,23130.308609932643,22675.314608455443,23585.302611409843,2025-01-09 21:55:00,153961.44444444444,142960.82218742574,164962.06670146313,2025-01-09 21:55:00,0.4444444444444444,0.3802284646157032,0.5086604242731856
2025-01-10 21:55:00,23132.431665418877,22664.246700408865,23600.61663042889,2025-01-10 21:55:00,153961.44444444444,142665.3495209575,165257.53936793137,2025-01-10 21:55:00,0.4444444444444444,0.3783667463156081,0.5105221425732807
2025-01-11 21:55:00,23134.55472090511,22653.54039519057,23615.569046619654,2025-01-11 21:55:00,153961.44444444444,142377.41099321342,165545.47789567546,2025-01-11 21:55:00,0.4444444444444444,0.37655606315098644,0.5123328257379024
2025-01-12 21:55:00,23136.677776391345,22643.167491165386,23630.188061617304,2025-01-12 21:55:00,153961.44444444444,142096.4580779099,165826.43081097899,2025-01-12 21:55:00,0.4444444444444444,0.37479243485903296,0.5140964540298558
2025-01-13 21:55:00,23138.80083187758,22633.10327235707,23644.498391398087,2025-01-13 21:55:00,153961.44444444444,141822.00574420535,166100.88314468352,2025-01-13 21:55:00,0.4444444444444444,0.3730723731285118,0.515816515760377
2025-01-14 21:55:00,23140.923887363813,22623.325933555854,23658.521841171772,2025-01-14 21:55:00,153961.44444444444,141553.62261965688,166369.266269232,2025-01-14 21:55:00,0.4444444444444444,0.371392800461801,0.5174960884270878
2025-01-15 21:55:00,23143.046942850047,22613.816121877404,23672.27776382269,2025-01-15 21:55:00,153961.44444444444,141290.92302997666,166631.9658589122,2025-01-15 21:55:00,0.4444444444444444,0.3697509854724086,0.5191379034164803
2025-01-16 21:55:00,23145.16999833628,22604.55656717815,23685.78342949441,2025-01-16 21:55:00,153961.44444444444,141033.5604956577,166889.32839323118,2025-01-16 21:55:00,0.4444444444444444,0.3681444907233083,0.5207443981655806
