Date,Actual_Meteor_Count,Predicted_ARIMA_Count
2023-04-21 21:00:00,0.0,90741.05968585177
2023-04-21 21:00:00,302648.0,106440.49400297471
2023-04-21 21:00:00,274084.0,82606.75950382913
2023-04-21 21:00:00,0.0,87001.79405681844
2023-04-21 21:00:00,0.0,61116.15767856159
2023-04-21 21:00:00,233845.0,73151.78999320252
2023-04-21 21:00:00,333173.0,83546.29486524293
2023-04-21 21:00:00,0.0,82299.13801359451
2023-04-21 21:00:00,0.0,78163.81671147233
2023-04-21 21:00:00,251938.0,77034.29916416263
2023-04-21 21:00:00,0.0,76111.6469332323
2023-04-21 21:00:00,0.0,78596.9197892165
2023-04-21 21:00:00,0.0,79269.62341706314
2023-04-21 21:00:00,0.0,78528.71839076004
2023-04-21 21:00:00,0.0,77901.28805807457
2023-04-21 21:00:00,0.0,77889.11412970147
2023-04-21 21:00:00,0.0,78098.71694575182
2023-04-21 21:00:00,0.0,78397.11531788635
2023-04-21 21:00:00,0.0,78334.33646806487
2023-04-21 21:00:00,0.0,78179.79406618171
2023-04-21 21:00:00,347786.0,78129.94614124746
2023-04-21 21:00:00,0.0,78176.07004712519
2023-04-21 21:00:00,0.0,78225.69307523673
2023-04-21 21:00:00,303777.0,78239.779414346
2023-04-21 21:45:00,0.0,78211.2117062817
2023-04-21 21:45:00,333923.0,78192.52139816161
2023-04-21 21:45:00,0.0,78196.49843616872
2023-04-21 21:48:00,0.0,78208.09783993095
2023-04-21 21:48:00,273008.0,78212.68379284383
2023-04-21 21:55:00,0.0,78209.60317765153
2023-04-21 21:55:00,0.0,78204.68470177318
2023-04-21 22:00:00,0.0,78204.04806898834
2023-04-21 22:00:00,347079.0,78206.15907438459
2023-04-21 22:00:00,223676.0,78207.66934588573
2023-04-21 22:00:00,0.0,78207.42469627531
2023-04-21 22:00:00,0.0,78206.49576024957
2023-04-21 22:00:00,0.0,78206.05698440013
2023-04-21 22:00:00,0.0,78206.34767405772
2023-04-21 22:00:00,0.0,78206.72590339054
2023-04-21 22:00:00,0.0,78206.786308773
2023-04-21 22:00:00,252510.0,78206.62087027686
2023-04-21 22:00:00,0.0,78206.494920954
2023-04-21 22:00:00,0.0,78206.51000261505
2023-04-21 22:00:00,224360.0,78206.58886701486
2023-04-21 22:00:00,0.0,78206.62321771511
2023-04-21 22:10:00,332887.0,78206.60104843111
2023-04-21 22:10:00,273732.0,78206.57030681951
2023-04-21 22:15:00,0.0,78206.56471524898
2023-04-21 22:15:00,348201.0,78206.57791038408
2023-04-21 22:15:00,0.0,78206.58852548206
2023-04-21 22:15:00,286289.0,78206.58728103124
2023-04-21 22:15:00,255152.0,78206.58098990432
2023-04-21 22:15:00,0.0,78206.57810313377
2023-04-21 22:15:00,253861.0,78206.57982771272
2023-04-21 22:15:00,0.0,78206.58234198848
2023-04-21 22:15:00,0.0,78206.58284684236
2023-04-21 22:15:00,0.0,78206.58177501266
2023-04-21 22:30:00,0.0,78206.58091006971
2023-04-21 22:30:00,0.0,78206.58099323873
2023-04-21 22:45:00,0.0,78206.58150166493
2023-04-21 22:55:00,347235.0,78206.58174395554
2023-04-21 22:55:00,251496.0,78206.58160915927
2023-04-21 22:55:00,0.0,78206.5814029952
2023-04-21 23:00:00,319247.0,78206.58135964566
2023-04-21 23:00:00,0.0,78206.58144504507
2023-04-21 23:00:00,253854.0,78206.58151631212
2023-04-21 23:00:00,0.0,78206.58151086095
2023-04-21 23:15:00,0.0,78206.58146972238
2023-04-21 23:15:00,0.0,78206.58144942748
2023-04-21 23:15:00,0.0,78206.5814600311
2023-04-21 23:45:00,0.0,78206.58147680806
2023-04-22 00:30:00,286544.0,78206.5814805985
2023-04-22 01:15:00,251714.0,78206.58147377279
2023-04-22 01:20:00,0.0,78206.58146790358
2023-04-22 01:20:00,346356.0,78206.58146824354
