Meteor_Count,Peak_Activity,Avg_Magnitude,Actual_Latitude,Predicted_Latitude,Actual_Longitude,Predicted_Longitude
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,44.1825,36.720606164620946,3.6852777778,13.688105531694955
232839.0,0,15522.6,36.672400843983354,36.67240084398377,13.904218155907413,13.904218155906747
330948.0,1,22063.2,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
243991.0,1,16266.066666666668,36.672400843983354,36.67240084398377,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
330750.0,1,22050.0,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
331239.0,1,22082.6,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,44.1583333333,36.720606164620946,19.6869444444,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,52.4561111111,36.720606164620946,12.9769444444,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
273792.0,1,18252.8,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
289237.0,1,19282.466666666667,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
347878.0,1,23191.866666666665,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,28.3023487246,36.720606164620946,-16.5145384111,13.688105531694955
224205.0,0,14947.0,36.672400843983354,36.67240084398378,13.904218155907413,13.904218155906747
252723.0,0,16848.2,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
233456.0,0,15563.733333333334,36.672400843983354,36.67240084398377,13.904218155907413,13.904218155906747
243886.0,1,16259.066666666668,36.672400843983354,36.67240084398377,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,-27.6575,36.720606164620946,-48.5436111111,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
318979.0,1,21265.266666666663,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
331441.0,1,22096.066666666666,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
251644.0,0,16776.266666666666,36.672400843983354,36.67240084398377,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
346075.0,1,23071.666666666668,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,42.858379,36.720606164620946,132.688318,13.688105531694955
359875.0,1,23991.666666666668,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,44.1583333333,36.720606164620946,19.6869444444,13.688105531694955
223582.0,0,14905.466666666667,36.672400843983354,36.672400843983745,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
345372.0,1,23024.8,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
331028.0,1,22068.533333333333,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
348780.0,1,23252.0,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
302032.0,1,20135.466666666667,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
0.0,0,18336.566666666666,49.4302777778,36.720606164620946,8.6491666667,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
0.0,0,18336.566666666666,36.672400843983354,36.720606164620946,13.904218155907413,13.688105531694955
318843.0,1,21256.2,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
341900.0,1,22793.33333333333,36.672400843983354,36.672400843983766,13.904218155907413,13.904218155906747
